

i      x0        x1        u0             u1             
0       0.100     0.000     1.363e-04      0.000e+00     
1      -0.000     0.100     2.464e-05     -5.952e-05     
2       0.000     1.000     0.000e+00     -2.003e-04     
3       1.000     1.000     4.991e-04     -2.154e-04     
4       1.000     0.000     5.042e-04      0.000e+00     
5       0.100     0.009     1.356e-04     -4.343e-06     
6       0.098     0.019     1.338e-04     -8.609e-06     
7       0.096     0.028     1.309e-04     -1.266e-05     
8       0.093     0.037     1.267e-04     -1.665e-05     
9       0.089     0.046     1.214e-04     -2.053e-05     
10      0.084     0.054     1.150e-04     -2.434e-05     
11      0.078     0.062     1.069e-04     -2.819e-05     
12      0.071     0.071     9.701e-05     -3.199e-05     
13      0.062     0.078     8.599e-05     -3.552e-05     
14      0.054     0.084     7.518e-05     -3.833e-05     
15      0.046     0.089     6.471e-05     -4.066e-05     
16      0.037     0.093     5.391e-05     -4.256e-05     
17      0.028     0.096     4.333e-05     -4.431e-05     
18      0.019     0.098     3.357e-05     -4.591e-05     
19      0.009     0.100     2.588e-05     -4.854e-05     
20      0.000     0.951     0.000e+00     -1.913e-04     
21      0.000     0.903     0.000e+00     -1.822e-04     
22      0.000     0.854     0.000e+00     -1.731e-04     
23      0.000     0.806     0.000e+00     -1.640e-04     
24      0.000     0.757     0.000e+00     -1.550e-04     
25      0.000     0.708     0.000e+00     -1.461e-04     
26      0.000     0.660     0.000e+00     -1.373e-04     
27      0.000     0.611     0.000e+00     -1.286e-04     
28      0.000     0.564     0.000e+00     -1.202e-04     
29      0.000     0.520     0.000e+00     -1.126e-04     
30      0.000     0.480     0.000e+00     -1.058e-04     
31      0.000     0.444     0.000e+00     -9.971e-05     
32      0.000     0.410     0.000e+00     -9.423e-05     
33      0.000     0.379     0.000e+00     -8.934e-05     
34      0.000     0.351     0.000e+00     -8.500e-05     
35      0.000     0.325     0.000e+00     -8.116e-05     
36      0.000     0.301     0.000e+00     -7.778e-05     
37      0.000     0.279     0.000e+00     -7.482e-05     
38      0.000     0.259     0.000e+00     -7.225e-05     
39      0.000     0.241     0.000e+00     -7.003e-05     
40      0.000     0.224     0.000e+00     -6.812e-05     
41      0.000     0.209     0.000e+00     -6.648e-05     
42      0.000     0.194     0.000e+00     -6.508e-05     
43      0.000     0.181     0.000e+00     -6.389e-05     
44      0.000     0.170     0.000e+00     -6.286e-05     
45      0.000     0.159     0.000e+00     -6.196e-05     
46      0.000     0.149     0.000e+00     -6.116e-05     
47      0.000     0.139     0.000e+00     -6.049e-05     
48      0.000     0.129     0.000e+00     -6.000e-05     
49      0.000     0.119     0.000e+00     -5.959e-05     
50      0.000     0.110     0.000e+00     -6.007e-05     
51      0.950     1.000     4.579e-04     -1.965e-04     
52      0.900     1.000     4.240e-04     -1.891e-04     
53      0.850     1.000     3.949e-04     -1.863e-04     
54      0.800     1.000     3.673e-04     -1.853e-04     
55      0.750     1.000     3.413e-04     -1.853e-04     
56      0.700     1.000     3.162e-04     -1.858e-04     
57      0.650     1.000     2.918e-04     -1.866e-04     
58      0.600     1.000     2.679e-04     -1.877e-04     
59      0.550     1.000     2.444e-04     -1.890e-04     
60      0.500     1.000     2.212e-04     -1.904e-04     
61      0.450     1.000     1.983e-04     -1.918e-04     
62      0.400     1.000     1.756e-04     -1.932e-04     
63      0.350     1.000     1.531e-04     -1.946e-04     
64      0.300     1.000     1.308e-04     -1.959e-04     
65      0.250     1.000     1.087e-04     -1.972e-04     
66      0.200     1.000     8.671e-05     -1.982e-04     
67      0.150     1.000     6.490e-05     -1.991e-04     
68      0.100     1.000     4.320e-05     -1.998e-04     
69      0.050     1.000     2.158e-05     -2.002e-04     
70      1.000     0.050     4.777e-04     -3.428e-06     
71      1.000     0.100     4.686e-04     -1.190e-05     
72      1.000     0.150     4.626e-04     -2.089e-05     
73      1.000     0.200     4.582e-04     -2.993e-05     
74      1.000     0.250     4.544e-04     -3.924e-05     
75      1.000     0.300     4.512e-04     -4.874e-05     
76      1.000     0.350     4.484e-04     -5.845e-05     
77      1.000     0.400     4.459e-04     -6.840e-05     
78      1.000     0.450     4.437e-04     -7.852e-05     
79      1.000     0.500     4.419e-04     -8.885e-05     
80      1.000     0.550     4.405e-04     -9.935e-05     
81      1.000     0.600     4.395e-04     -1.101e-04     
82      1.000     0.650     4.389e-04     -1.211e-04     
83      1.000     0.700     4.390e-04     -1.324e-04     
84      1.000     0.750     4.397e-04     -1.441e-04     
85      1.000     0.800     4.416e-04     -1.567e-04     
86      1.000     0.850     4.449e-04     -1.697e-04     
87      1.000     0.900     4.512e-04     -1.840e-04     
88      1.000     0.950     4.633e-04     -2.001e-04     
89      0.110     0.000     1.376e-04      0.000e+00     
90      0.119     0.000     1.384e-04      0.000e+00     
91      0.129     0.000     1.391e-04      0.000e+00     
92      0.139     0.000     1.399e-04      0.000e+00     
93      0.149     0.000     1.407e-04      0.000e+00     
94      0.159     0.000     1.418e-04      0.000e+00     
95      0.170     0.000     1.432e-04      0.000e+00     
96      0.181     0.000     1.451e-04      0.000e+00     
97      0.194     0.000     1.474e-04      0.000e+00     
98      0.209     0.000     1.504e-04      0.000e+00     
99      0.224     0.000     1.540e-04      0.000e+00     
100     0.241     0.000     1.584e-04      0.000e+00     
101     0.259     0.000     1.635e-04      0.000e+00     
102     0.279     0.000     1.696e-04      0.000e+00     
103     0.301     0.000     1.766e-04      0.000e+00     
104     0.325     0.000     1.846e-04      0.000e+00     
105     0.351     0.000     1.938e-04      0.000e+00     
106     0.379     0.000     2.042e-04      0.000e+00     
107     0.410     0.000     2.159e-04      0.000e+00     
108     0.444     0.000     2.291e-04      0.000e+00     
109     0.480     0.000     2.439e-04      0.000e+00     
110     0.520     0.000     2.604e-04      0.000e+00     
111     0.564     0.000     2.787e-04      0.000e+00     
112     0.611     0.000     2.992e-04      0.000e+00     
113     0.660     0.000     3.206e-04      0.000e+00     
114     0.708     0.000     3.425e-04      0.000e+00     
115     0.757     0.000     3.650e-04      0.000e+00     
116     0.806     0.000     3.882e-04      0.000e+00     
117     0.854     0.000     4.124e-04      0.000e+00     
118     0.903     0.000     4.385e-04      0.000e+00     
119     0.951     0.000     4.673e-04      0.000e+00     
120     0.074     0.081     8.636e-05     -3.051e-05     
121     0.250     0.014     1.607e-04     -1.520e-06     
122     0.016     0.251     7.587e-06     -7.088e-05     
123     0.366     0.020     1.990e-04     -3.036e-06     
124     0.033     0.500     1.475e-05     -1.090e-04     
125     0.499     0.036     2.514e-04     -6.220e-06     
126     0.021     0.337     9.330e-06     -8.277e-05     
127     0.188     0.011     1.459e-04     -8.126e-07     
128     0.472     0.958     2.094e-04     -1.829e-04     
129     0.955     0.478     4.232e-04     -8.573e-05     
130     0.011     0.188     5.663e-06     -6.416e-05     
131     0.094     0.054     1.156e-04     -1.796e-05     
132     0.677     0.960     3.050e-04     -1.778e-04     
133     0.038     0.677     1.704e-05     -1.403e-04     
134     0.683     0.039     3.306e-04     -7.498e-06     
135     0.045     0.099     5.390e-05     -4.232e-05     
136     0.952     0.682     4.178e-04     -1.279e-04     
137     0.009     0.154     5.012e-06     -6.116e-05     
138     0.323     0.960     1.420e-04     -1.877e-04     
139     0.960     0.322     4.329e-04     -5.511e-05     
140     0.154     0.008     1.409e-04     -5.938e-07     
141     0.104     0.035     1.285e-04     -1.047e-05     
142     0.173     0.958     7.545e-05     -1.908e-04     
143     0.947     0.174     4.383e-04     -2.957e-05     
144     0.953     0.821     4.218e-04     -1.578e-04     
145     0.025     0.107     3.158e-05     -4.777e-05     
146     0.038     0.587     1.675e-05     -1.241e-04     
147     0.588     0.039     2.888e-04     -7.133e-06     
148     0.025     0.394     1.136e-05     -9.143e-05     
149     0.425     0.029     2.215e-04     -4.792e-06     
150     0.018     0.290     8.236e-06     -7.605e-05     
151     0.290     0.017     1.728e-04     -2.157e-06     
152     0.216     0.012     1.519e-04     -1.113e-06     
153     0.015     0.216     7.174e-06     -6.692e-05     
154     0.821     0.957     3.760e-04     -1.760e-04     
155     0.043     0.830     1.889e-05     -1.685e-04     
156     0.831     0.044     3.995e-04     -9.427e-06     
157     0.575     0.957     2.569e-04     -1.797e-04     
158     0.952     0.574     4.192e-04     -1.052e-04     
159     0.133     0.008     1.390e-04     -8.723e-07     
160     0.008     0.134     5.349e-06     -5.935e-05     
161     0.106     0.014     1.360e-04     -4.401e-06     
162     0.077     0.958     3.355e-05     -1.921e-04     
163     0.959     0.073     4.563e-04     -1.367e-05     
164     0.958     0.925     4.370e-04     -1.804e-04     
165     0.008     0.115     8.805e-06     -5.534e-05     
166     0.065     0.089     7.469e-05     -3.493e-05     
167     0.076     0.093     7.628e-05     -3.118e-05     
168     0.085     0.084     8.772e-05     -2.606e-05     
169     0.088     0.097     7.985e-05     -2.739e-05     
170     0.078     0.106     6.848e-05     -3.292e-05     
171     0.091     0.109     7.326e-05     -2.979e-05     
172     0.101     0.100     8.422e-05     -2.424e-05     
173     0.104     0.114     7.825e-05     -2.732e-05     
174     0.115     0.104     8.941e-05     -2.177e-05     
175     0.118     0.119     8.373e-05     -2.549e-05     
176     0.130     0.108     9.474e-05     -2.022e-05     
177     0.133     0.124     8.960e-05     -2.435e-05     
178     0.145     0.113     1.001e-04     -1.958e-05     
179     0.148     0.129     9.586e-05     -2.381e-05     
180     0.136     0.140     8.567e-05     -2.862e-05     
181     0.153     0.147     9.267e-05     -2.833e-05     
182     0.168     0.135     1.039e-04     -2.349e-05     
183     0.171     0.154     1.001e-04     -2.857e-05     
184     0.156     0.166     8.942e-05     -3.356e-05     
185     0.175     0.173     9.800e-05     -3.346e-05     
186     0.190     0.160     1.089e-04     -2.866e-05     
187     0.195     0.180     1.071e-04     -3.372e-05     
188     0.211     0.165     1.180e-04     -2.889e-05     
189     0.217     0.188     1.167e-04     -3.435e-05     
190     0.199     0.204     1.051e-04     -3.961e-05     
191     0.224     0.212     1.164e-04     -4.008e-05     
192     0.204     0.229     1.039e-04     -4.582e-05     
193     0.229     0.238     1.158e-04     -4.641e-05     
194     0.250     0.219     1.286e-04     -4.072e-05     
195     0.257     0.247     1.283e-04     -4.726e-05     
196     0.234     0.267     1.154e-04     -5.304e-05     
197     0.263     0.277     1.284e-04     -5.393e-05     
198     0.286     0.256     1.415e-04     -4.827e-05     
199     0.292     0.287     1.419e-04     -5.509e-05     
200     0.314     0.266     1.543e-04     -4.966e-05     
201     0.321     0.297     1.548e-04     -5.665e-05     
202     0.298     0.318     1.425e-04     -6.196e-05     
203     0.330     0.330     1.567e-04     -6.359e-05     
204     0.356     0.302     1.711e-04     -5.693e-05     
205     0.363     0.340     1.718e-04     -6.494e-05     
206     0.337     0.364     1.580e-04     -7.073e-05     
207     0.371     0.375     1.731e-04     -7.229e-05     
208     0.402     0.347     1.893e-04     -6.577e-05     
